Angle	Distance(cm)
0	300.00
2	300.00
4	300.00
6	300.00
8	300.00
10	300.00
12	300.00
14	300.00
16	300.00
18	300.00
20	300.00
22	300.00
24	50.74
26	50.74
28	50.74
30	50.74
32	50.74
34	300.00
36	300.00
38	300.00
40	300.00
42	300.00
44	300.00
46	300.00
48	300.00
50	300.00
52	300.00
54	300.00
56	300.00
58	300.00
60	300.00
62	300.00
64	300.00
66	300.00
68	300.00
70	300.00
72	300.00
74	300.00
76	300.00
78	300.00
80	300.00
82	300.00
84	300.00
86	300.00
88	300.00
90	44.97
92	44.97
94	44.97
96	44.97
98	44.97
100	44.97
102	44.97
104	44.97
106	300.00
108	300.00
110	300.00
112	300.00
114	300.00
116	300.00
118	300.00
120	300.00
122	300.00
124	300.00
126	300.00
128	300.00
130	300.00
132	300.00
134	300.00
136	300.00
138	300.00
140	300.00
142	300.00
144	300.00
146	300.00
148	300.00
150	300.00
152	300.00
154	300.00
156	300.00
158	300.00
160	300.00
162	300.00
164	300.00
166	300.00
168	300.00
170	51.23
172	51.23
174	51.23
176	51.23
178	51.23
180	51.23
