Angle	Ping_Dist	IR_Raw
2	76.15	711
4	76.16	790
6	77.11	849
8	80.47	790
10	77.91	796
12	82.23	595
14	82.23	469
16	143.34	471
18	145.45	452
20	143.84	477
22	146.26	469
24	152.81	574
26	147.46	523
28	167.87	454
30	168.29	451
32	167.64	451
34	153.03	452
36	168.49	504
38	176.54	507
40	175.62	590
42	170.22	527
44	17806.50	629
46	183.44	574
48	183.38	670
50	168.51	708
52	176.95	646
54	178.59	776
56	178.28	682
58	169.80	699
60	172.45	706
62	186.71	654
64	178.99	656
66	45.97	666
68	46.41	451
70	45.17	452
72	44.59	452
74	45.18	472
76	44.49	451
78	44.06	452
80	44.02	451
82	43.97	451
84	43.51	472
86	43.56	1132
88	43.50	1087
90	43.51	1080
92	43.50	1095
94	43.50	1094
96	43.49	1101
98	43.54	1177
100	43.53	788
102	43.98	453
104	44.02	452
106	44.07	453
108	44.53	454
110	45.15	452
112	45.16	453
114	45.97	479
116	46.02	681
118	46.50	827
120	178.88	816
122	187.89	788
124	177.66	798
126	178.11	797
128	179.34	784
130	189.35	790
132	181.15	785
134	180.44	775
136	184.15	818
138	152.94	795
140	154.21	850
142	145.21	796
144	144.51	849
146	143.76	795
148	70.51	820
150	69.92	814
152	68.71	825
154	68.68	831
156	68.22	843
158	67.64	854
160	67.62	833
162	67.55	837
164	67.52	864
166	67.14	861
168	67.13	850
170	67.15	868
172	67.16	886
174	67.13	831
176	66.51	867
178	66.50	865
180	67.12	867
